../bba/Open_In_Fourth_Seat.pbn

                        -- Sorted by Board Number --
brd# dlr contract score  par     north            east             south            west             | auction...   | notes
---- --- -------- -----  ------  ---------------- ---------------- ---------------- ---------------- | ------------------------- 
1     W  Pass-?                  K642.A86.J32.J75 Q83.KT9.AT8.8432 75.QJ432.Q74.AQT AJT9.75.K965.K96 | P
2     W  2S-N       110          QT72.T52.QJ3.KQT A95.976.A84.9742 J843.AKJ.K965.85 K6.Q843.T72.AJ63 | P-P-P-1D-P-1S-P-2S
3     W  1N-S        90          A732.43.963.AT93 K85.J975.KJT4.J8 64.AQT8.AQ72.752 QJT9.K62.85.KQ64 | P-P-P-1D-P-1S-P-1N
4     W  Pass-?      90          964.AKT.KJ83.T32 AQT.J763.QT6.J64 8753.Q5.A97.KQ97 KJ2.9842.542.A85 | P
5     W  Pass-?      90          643.J32.654.AKQT KT85.K64.KT92.J3 AQ2.Q5.QJ8.98762 J97.AT987.A73.54 | P
6     W  2H-N       -50          QJ95.KT74.93.QJ7 64.QJ8.KT865.A83 AT82.A652.QJ2.54 K73.93.A74.KT962 | P-P-P-1D-P-1H-P-2H
7     W  2C-S        90          K7432.864.K4.K32 986.KT32.A85.AT7 AQ.A.QJ9632.J865 JT5.QJ975.T7.Q94 | P-P-P-1D-P-1S-P-2C
8     W  3N-N       -50          QJT8.J863.Q5.KQ6 752.KQT7.K72.873 K.42.AJ9643.AJ42 A9643.A95.T8.T95 | P-P-P-1D-1S-X-P-2C-P-2N-P-3N
9     W  3S-N       140          AT86.43.765.AK73 93.AT2.KQT98.Q64 Q754.KJ65.A3.JT2 KJ2.Q987.J42.985 | P-1C-1D-X-P-1S-P-2N-P-3S
10    W  2H-S       140          982.865.AJ73.A96 K754.AJ.T98.K854 AQ.KT7432.Q42.T2 JT63.Q9.K65.QJ73 | P-P-P-1H-P-2H
11    W  1N-N        90          KJ8.J9.Q842.Q864 T5.AK2.JT9.T9753 Q764.QT654.AK6.J A932.873.753.AK2 | P-P-P-1H-P-1N
12    W  Pass-?      90          AJ3.T32.K765.QJ5 K965.QJ84.Q98.87 Q842.96.AT3.A942 T7.AK75.J42.KT63 | P
13    W  2S-E       100          AJT.J6.Q6532.K53 Q942.QT9.K87.T82 87.A754.T4.AQJ76 K653.K832.AJ9.94 | 1D-P-1S-P-2S
14    W  2N-N       120          KJ5.98.654.AQJ54 Q986.A3.A72.T863 AT4.KJ642.Q98.K2 732.QT75.KJT3.97 | P-P-P-1H-P-2N
15    W  2S-W        50          Q83.AQT7.82.J942 T75.54.AJT9.A865 AJ.K832.Q654.KT3 K9642.J96.K73.Q7 | P-P-P-1D-1S-X-P-2H-P-P-2S
16    W  4C-S       130          T75.KJ73.K64.A63 AKJ9.T642.972.95 2.Q98.AJ53.KQJ42 Q8643.A5.QT8.T87 | P-P-P-1C-1S-X-2S-P-P-X-P-3D-P-4C
17    W  2D-S       -50          J8432.76.AJ4.Q76 K97.AK8.T732.J82 6.QJ953.KQ85.AT3 AQT5.T42.96.K954 | P-P-P-1H-P-1S-P-2D
18    W  2H-E        50          AQ3.K52.98652.32 K76.Q9643.K4.Q75 T842.JT8.J7.AKJT J95.A7.AQT3.9864 | P-P-2H
19    W  1N-N        90          872.A84.96432.AJ AJT4.QJ96.T8.T93 K96.T753.AK7.K85 Q53.K2.QJ5.Q7642 | P-P-P-1C-P-1D-P-1H-P-1N
20    W  2C-S       110          AQJ9.J94.J865.62 KT43.KT3.KT74.95 76.52.AQ2.AQJ873 852.AQ876.93.KT4 | P-P-P-1C-1H-X-P-2C
21    W  3S-N       170          KQJ52.T53.95.KQ7 94.Q864.KJT4.J84 T763.J2.AQ3.AT65 A8.AK97.8762.932 | 1D-1S-X-2D=1=-2H-3S | Limit raise or better in !S
22    W  2S-S       110          KJ97.K852.974.Q2 T5.AJ764.K53.654 Q842.Q3.J82.AKT3 A63.T9.AQT6.J987 | P-P-P-1C-P-1H-P-1S-X=1=-P-2D-P-P-2S | Two suit takeout double
23    W  Pass-?     110          K86.J983.AT5.K92 AJ.AT76.862.Q743 Q953.Q5.KQ93.T65 T742.K42.J74.AJ8 | P
24    W  Pass-?     110          K84.T82.K972.AT6 J65.J765.A54.KJ5 A93.KQ9.T63.Q984 QT72.A43.QJ8.732 | P
25    W  4H-S       420          JT4.K3.J754.KQJ8 AQ52.QJ.T863.742 73.A98654.AQ2.A6 K986.T72.K9.T953 | P-P-P-1H-P-2N-P-3H-P-4H
26    W  3C-N       130          AT7.QJ8.95.A9654 KQ95.642.KQT6.T3 632.AKT.J3.KJ872 J84.9753.A8742.Q | P-1C-P-2C=1=-P-3C | Inverted minors
27    W  2S-E      -110          Q2.K742.K84.QJ95 A8654.A53.Q75.76 K73.JT86.A632.K3 JT9.Q9.JT9.AT842 | P-P-2S
28    W  Pass-?    -110          T42.AQ7.T63.QJT9 KJ7.932.K92.K653 983.J654.AJ4.A42 AQ65.KT8.Q875.87 | P
29    W  2H-S       140          QJ9.975.A95.QT62 A8654.A83.764.75 32.KQJ42.T2.AK94 KT7.T6.KQJ83.J83 | P-P-P-1H-P-2H
30    W  2H-S       140          Q82.KQT9.T92.987 AJ64.85.J75.QJ32 K7.A7643.K843.A6 T953.J2.AQ6.KT54 | P-P-P-1H-P-2H
31    W  2S-E      -110          KJT.T32.J84.QT97 A9832.95.AT5.K54 75.AQ84.Q93.A862 Q64.KJ76.K762.J3 | P-P-1S-X-XX-2C-P-P-2S
32    W  2N-E       100          KQT97.964.J3.973 J3.Q832.K64.AJT8 52.AKJT.QT75.Q42 A864.75.A982.K65 | 1D-P-1H-P-1S-P-2N
33    W  2H-S       140          AT975.QT9.Q4.J93 863.K2.J987.A842 K.A8764.KT52.QT7 QJ42.J53.A63.K65 | P-P-P-1H-P-2C=1=-P-2D=2=-P-2H | Reverse drury | Artificial
34    W  3D-S       110          A43.J85.KJ7.T754 JT65.7632.A3.AQ2 Q87.A4.QT8642.KJ K92.KQT9.95.9863 | P-P-1C-1D-1H-2D-2H-3D
35    W  2N-E      -120          952.K983.63.A732 64.T42.AKT.KJT96 KQJ73.Q75.J84.Q5 AT8.AJ6.Q9752.84 | 1D-P-2N
36    W  2N-S       120          KQT94.76.J86.A86 J76.A84.Q97.J432 A2.QT92.KT32.KT5 853.KJ53.A54.Q97 | P-P-P-1D-P-1S-P-1N-P-2S-P-2N
37    W  1S-W       -80          KJ3.62.J85.KQJ95 972.KJ94.K973.A3 AT6.A875.Q42.862 Q854.QT3.AT6.T74 | P-P-1D-P-1S
38    W  1N-N        90          A94.A52.J42.9743 J6.J76.KQ953.J85 K852.QT3.AT6.K62 QT73.K984.87.AQT | P-P-P-1C-P-1N
39    W  Pass-?      90          972.KJ75.K542.K3 J63.64.A97.AT984 KQT4.T832.QT.QJ2 A85.AQ9.J863.765 | P
40    W  1N-W       -90          942.64.T85.AK875 A86.K875.KJ64.64 T53.AT932.AQ2.Q3 KQJ7.QJ.973.JT92 | P-P-1D-1H-X-P-1S-P-1N
41    W  2H-S       110          QT642.A54.J53.97 J73.K6.KT742.KJT K.QJ9872.Q6.A865 A985.T3.A98.Q432 | P-P-P-1H-P-2H
42    W  3S-W       200          65.A96.T9842.A85 KT87.874.Q753.QT AQ.KJ32.J.K97643 J9432.QT5.AK6.J2 | 1S-P-2S-3C-P-P-3S
43    W  3C-S       110          754.83.A85.A9753 J83.QJ52.KQJ7.82 A962.K76.42.KJ64 KQT.AT94.T963.QT | P-P-P-1C-P-3C
44    W  1H-N      -100          K8.KQ75.843.9743 AJ62.AJT8.97.T86 Q54.43.AJT62.A52 T973.962.KQ5.KQJ | P-P-P-1D-P-1H
45    W  Pass-?    -100          J974.K974.JT3.A9 65.Q85.AK97.Q762 KQT2.J632.52.KT4 A83.AT.Q864.J853 | P
46    W  2S-N       140          AKQ64.T32.972.32 83.AKQ84.T83.Q98 75.65.AQ54.AKJT6 JT92.J97.KJ6.754 | P-P-1H-2C-2H-2S
47    W  3N-N      -100          A64.T72.Q42.AJT4 T72.KJ54.KJ5.Q87 J95.A93.A876.K65 KQ83.Q86.T93.932 | P-P-P-1D-P-3N
48    W  1H-N       140          J32.KQ652.K87.J5 9754.A3.932.A863 K6.JT4.AQ4.QT942 AQT8.987.JT65.K7 | P-P-P-1C-P-1H
49    W  1N-N       120          KQ8.QT9.KT62.862 J632.J632.Q5.KJ7 T74.A754.A73.AT4 A95.K8.J984.Q953 | P-P-P-1C-P-1D-P-1H-P-1N
50    W  2S-S       170          863.T984.62.AKQ4 A4.K652.KJT.9532 KQT952.73.A94.JT J7.AQJ.Q8753.876 | P-P-P-2S
51    W  4H-S       450          AQ76.982.J2.AT97 KJT5.KJ.874.8654 2.AQT653.KT95.KJ 9843.74.AQ63.Q32 | P-1C-P-1H-P-1S-P-3H-P-4H
52    W  2H-E      -110          J974.42.KQT2.A76 AT3.AJ875.J9.854 Q5.K63.8753.KQJ3 K862.QT9.A64.T92 | P-P-1H-P-2H
53    W  Pass-?    -110          KT7.QT65.983.QJ3 Q862.KJ73.Q62.K8 J53.A8.AJ74.7652 A94.942.KT5.AT94 | P
54    W  2C-N       -50          KQT5.KT8.82.K973 874.A732.QT76.A6 J2.QJ54.AK543.J8 A963.96.J9.QT542 | P-P-P-1D-P-1S-P-1N-P-2C
55    W  2H-S       110          J874.JT5.AK32.63 T53.Q83.QJT5.A95 AQ6.K7642.97.QJ4 K92.A9.864.KT872 | P-P-P-1H-P-2C=1=-P-2H | Reverse drury
56    W  3C-S       110          KJ2.AQ92.985.974 Q8764.T84.K72.A5 95.K75.A43.KQ863 AT3.J63.QJT6.JT2 | P-P-2S-3C
57    W  4D-S       150          J92.952.QJ2.AQ86 A65.AQ73.75.JT93 KQ84.8.AT9843.K7 T73.KJT64.K6.542 | P-P-1C-1D-1H-2D-2H-3D-3H-P-P-4D
58    W  3N-N       600          KT763.A64.A3.T87 AJ2.Q52.JT965.53 95.T73.KQ72.AKJ9 Q84.KJ98.84.Q642 | P-1S-P-2C-P-2N-P-3D-P-3N
59    W  Pass-?     600          AT32.532.A942.42 K64.AJT9.863.QT3 J97.Q8.QJ.AJ9876 Q85.K764.KT75.K5 | P
60    W  Pass-?     600          T65.53.AT2.AQT94 Q942.AJ9.J654.J7 J8.Q862.KQ9.K652 AK73.KT74.873.83 | P
61    W  1N-S        90          KJ94.J54.K963.54 AQ65.K732.Q8.T96 87.AT8.AT72.AJ83 T32.Q96.J54.KQ72 | P-P-P-1D-P-1S-P-1N
62    W  1N-N       120          QT2.Q63.KT4.QJ54 K54.KT74.Q72.T32 J986.982.A86.AK6 A73.AJ5.J953.987 | P-P-P-1C-P-1N
63    W  Pass-?     120          KJ52.K6.T74.Q632 974.QJ4.KQ83.K95 A83.T9832.J5.AJ8 QT6.A75.A962.T74 | P
64    W  2N-N       120          QJ6.KT94.T7.AJT7 A853.QJ5.Q953.86 K4.83.AK842.Q432 T972.A762.J6.K95 | P-P-P-1D-P-1H-P-2C-P-2N
65    W  3N-N       430          AQJ75.764.K74.J2 9864.KT53.T65.85 K.AJ8.QJ932.AT94 T32.Q92.A8.KQ763 | P-1S-P-2D-P-2N-P-3C-P-3D-P-3N
66    W  3D-S      -200          J9.KT73.QT85.QJ2 Q75.AQ8.K94.T854 K6432.J6.A632.K7 AT8.9542.J7.A963 | P-P-P-1S-P-1N-P-2D-P-3D
67    W  2D-S       110          J65.J92.A863.K62 Q98.T65.K4.AQT73 KT7.AQ74.QJ975.5 A432.K83.T2.J984 | P-P-P-1D-P-1N-P-2D
68    W  Pass-?     110          K542.842.A962.Q5 Q96.AKJ9.75.J873 J87.Q73.KJ4.A964 AT3.T65.QT83.KT2 | P
69    W  Pass-?     110          Q2.AQ98.864.K872 KT5.J5.AJ92.J964 AJ63.KT6.753.QT3 9874.7432.KQT.A5 | P
70    W  3C-N       110          J32.KT9.KT2.JT63 A754.652.J954.Q4 K9.Q87.AQ73.K985 QT86.AJ43.86.A72 | 1C-P-1S-X-2S-P-P-X-P-3C
71    W  3C-S       130          K72.T93.AK854.95 JT4.KQ542.T3.AJ7 A98.J8.Q2.KQT843 Q653.A76.J976.62 | P-P-1H-P-2H-P-P-3C
72    W  3D-S       110          J7532.AQ7.92.QJ3 KT9.K864.K75.972 A.JT3.AQJ864.654 Q864.952.T3.AKT8 | P-P-P-1D-P-1S-P-2D-P-3D
