../bba/Open_and_Rebid.pbn

                        -- Sorted by Board Number --
brd# dlr contract score  par     north            east             south            west             | auction...   | notes
---- --- -------- -----  ------  ---------------- ---------------- ---------------- ---------------- | ------------------------- 
1     S  2C-S       130          AT974.QT53.9.QJ5 QJ83.AJ4.8543.72 .987.AKQJ7.KT963 K652.K62.T62.A84 | 1D-P-1S-P-2C
2     S  2C-S        90          QJ973.KQJT.J5.T3 K862.32.7432.AK5 AT.A9.KQ986.J976 54.87654.AT.Q842 | 1D-P-1S-P-2C
3     S  2C-S       150          K82.AK875.9.T852 JT64.J63.KQ72.64 A73.Q.AT654.KQ97 Q95.T942.J83.AJ3 | 1D-P-1H-P-2C
4     S  2H-N       170          942.AQJ64.T4.K86 QJ65.K98.Q872.J3 A7.T7.AJ63.AT754 KT83.532.K95.Q92 | 1C-P-1H-P-1N-P-2H
5     S  2C-S      -100          A875.QT86.Q2.T86 KQ3.543.JT93.QJ3 64.K9.K8754.AK95 JT92.AJ72.A6.742 | 1D-P-1H-P-2C
6     S  3C-S       130          QT3.KJ742.T.KT87 AJ86.T95.A943.96 95.A6.QJ765.AJ32 K742.Q83.K82.Q54 | 1D-P-1H-P-2C-P-3C
7     S  2S-N      -100          AK832.T753.Q.732 Q96.KQ8.8543.K95 T7.A6.AT97.QJT84 J54.J942.KJ62.A6 | 1C-P-1S-P-1N-P-2H-P-2S
8     S  4S-N       420          KQ9542.832.KQ.J9 T7.A954.T54.KQ76 J8.Q7.A862.A8532 A63.KJT6.J973.T4 | 1C-P-1S-P-1N-P-3S-P-4S
9     S  2H-N       170          T2.KQJT43.A83.94 Q65.A76.965.J752 A973..KJ74.AQT63 KJ84.9852.QT2.K8 | 1C-P-1H-P-1S-P-2H
10    S  1N-S       120          94.A983.J853.A96 8765.J74.AK72.87 AKJ2.Q5.T64.KT54 QT3.KT62.Q9.QJ32 | 1C-P-1D-P-1N
11    S  3N-S       400          AKQJT3.J432.42.3 97.T85.QJ73.KJT7 5.76.AK965.AQ984 8642.AKQ9.T8.652 | 1D-P-1S-P-2C-P-3H-P-3N
12    S  1N-S        90          AJ2.JT875.876.Q6 9843.432.AT93.KJ Q75.K.KQ52.A9852 KT6.AQ96.J4.T743 | 1C-P-1H-P-1N
